# CTA backfill top candidates (2026-04-27) — 三策略合併 stars>=4
# columns: 代號|名稱|市場|收盤|漲跌%|RSI|MACD_hist|reversal*|momentum*|breakout*|consensus5|consensus|max_score|描述
8028 | 昇陽半導體 | TWSE | 229.5 | -5.17% | 62.5 | 0.0000 | rev=0* | mom=4* | brk=0* | C5=0 | C=1 | maxScore=4.0 | 20MA上升(+5.0%),動能區RSI63,站上20MA,量增2.0x,長線多頭
2388 | 威盛 | TWSE | 74.7 | -4.48% | 68.5 | 0.0000 | rev=0* | mom=4* | brk=0* | C5=0 | C=1 | maxScore=4.0 | 20MA上升(+10.2%),動能區RSI68,站上20MA,量增1.8x,長線多頭
2439 | 美律 | TWSE | 88.7 | +2.31% | 53.5 | 0.0000 | rev=0* | mom=4* | brk=0* | C5=0 | C=1 | maxScore=4.0 | 20MA上升(+1.0%),動能區RSI54,突破20MA,站上20MA
8064 | 東捷 | TPEx | 78.5 | -6.77% | 55.8 | 0.0000 | rev=0* | mom=4* | brk=0* | C5=0 | C=1 | maxScore=4.0 | 20MA上升(+4.4%),動能區RSI56,站上20MA,量增1.6x,長線多頭
5425 | 台半 | TPEx | 59.6 | +2.41% | 50.8 | 0.0000 | rev=0* | mom=4* | brk=0* | C5=0 | C=1 | maxScore=4.0 | 動能區RSI51,突破20MA,站上20MA,量增1.7x
5386 | 青雲 | TPEx | 363.5 | +6.91% | 56.5 | 0.0000 | rev=0* | mom=4* | brk=0* | C5=0 | C=1 | maxScore=4.0 | 20MA上升(+1.6%),動能區RSI57,站上20MA,量增1.8x,長線多頭
6727 | 亞泰金屬 | TPEx | 409.0 | +6.23% | 59.9 | 0.0000 | rev=0* | mom=4* | brk=0* | C5=0 | C=1 | maxScore=4.0 | 20MA上升(+10.6%),動能區RSI60,站上20MA,量增1.7x,長線多頭
2330 | 台積電 | TWSE | 2265.0 | +3.66% | 76.7 | 0.0000 | rev=0* | mom=0* | brk=4* | C5=0 | C=1 | maxScore=4.0 | 3日漲10.5%,RSI77,創60日新高,微量增1.9x,波動擴張
1590 | 亞德客-KY | TWSE | 1410.0 | +3.68% | 78.9 | 0.0000 | rev=0* | mom=0* | brk=4* | C5=0 | C=1 | maxScore=4.0 | 3日漲6.4%,RSI79,創60日新高,微量增1.6x,波動擴張
6488 | 環球晶 | TPEx | 620.0 | +6.53% | 70.7 | 0.0000 | rev=0* | mom=0* | brk=4* | C5=0 | C=1 | maxScore=4.0 | 3日漲3.3%,RSI71,創60日新高,量增2.4x
3044 | 健鼎 | TWSE | 485.0 | +0.94% | 81.1 | 0.0000 | rev=0* | mom=0* | brk=4* | C5=0 | C=1 | maxScore=4.0 | 3日漲5.5%,RSI81過熱,創60日新高,波動擴張,量增2.1x
2344 | 華邦電 | TWSE | 93.9 | +6.46% | 49.0 | 0.0000 | rev=0* | mom=4* | brk=0* | C5=0 | C=1 | maxScore=3.5 | 突破20MA,站上20MA,量增1.7x
2337 | 旺宏 | TWSE | 145.0 | +9.85% | 56.7 | 0.0000 | rev=0* | mom=4* | brk=0* | C5=0 | C=1 | maxScore=3.5 | 動能區RSI57,突破20MA,站上20MA,長線多頭
3711 | 日月光投控 | TWSE | 495.5 | -0.10% | 76.6 | 0.0000 | rev=0* | mom=0* | brk=4* | C5=0 | C=1 | maxScore=3.5 | 3日漲6.6%,RSI77,微量增1.4x,逼近60日高
1773 | 勝一 | TWSE | 179.0 | +1.99% | 77.4 | 0.0000 | rev=0* | mom=0* | brk=4* | C5=0 | C=1 | maxScore=3.5 | 3日漲9.8%,RSI77,創60日新高,微量增1.4x
2316 | 楠梓電 | TWSE | 118.0 | +0.00% | 60.1 | 0.0000 | rev=0* | mom=0* | brk=4* | C5=0 | C=1 | maxScore=3.5 | 3日漲4.0%,RSI60未超買,微量增1.4x,逼近60日高
3028 | 增你強 | TWSE | 68.6 | +9.94% | 70.3 | 0.0000 | rev=0* | mom=0* | brk=4* | C5=0 | C=1 | maxScore=3.5 | 3日漲8.5%,RSI70,創60日新高,微量增1.9x
3005 | 神基 | TWSE | 97.0 | +0.41% | 34.5 | 0.2395 | rev=4* | mom=0* | brk=0* | C5=0 | C=1 | maxScore=3.0 | MACD 金叉,RSI 低檔區,底部區域
